<pad>
<unk>
<eos>
<sos>
<mask>
c
C
(
)
O
1
2
=
N
@
[
]
n
3
H
4
F
-
S
Cl
/
s
o
5
+
.
#
Br
\
P
6
I
7
Na
-2
-3
8
B
9
Si
%10
K
%11
-4
Se
